CHR1=Scer_Lo7_V3_chr7R LEN1=920146642	CHR2=Scer_Weining_v3_H2_chr7R	LEN2=917789564
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_1	390000001	392237784	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_2	390010001	392247785	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_3	390020001	392257785	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_4	390030001	392267785	1000	99.8%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_5	390040001	392277785	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_6	390050001	392287785	1000	99.9%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_7	390060214	392311740	787	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_8	390070001	392321527	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_9	390080001	392331527	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_10	390090001	392341527	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_11	390100001	392351527	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_12	390110001	392361527	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_13	390120001	392371527	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_14	390130001	392381527	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_15	390140001	392391521	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_16	390150001	392401487	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_17	390160001	392411487	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_18	390170001	392421487	1000	99.9%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_19	390180001	392431487	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_20	390190001	392441487	1000	99.9%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_21	390200001	392451487	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_22	390210001	392461487	1000	99.9%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_23	390220001	133672948	889	91.16%	rev
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_24	390230001	392471196	1000	99.9%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_25	390240001	392481196	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_26	390250001	392491196	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_27	390260001	392501196	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_28	390270001	392511196	1000	100%	for
Scer_Lo7_V3_chr7R_X_Scer_Weining_v3_H2_chr7R_29	390280001	392521196	1000	100%	for
